best_x,best_y,step
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,0
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,1
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,2
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,3
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,4
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,5
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,6
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,7
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,8
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,9
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,10
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,11
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,12
"[-0.5475507829053681, -0.8274302506488485, -0.12468889465747258]",-0.23145922040874822,13
"[-0.6021927861766462, -0.7919547207785173, -0.100854194327399]",-0.2319527909878431,14
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,15
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,16
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,17
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,18
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,19
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,20
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,21
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,22
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,23
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,24
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,25
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,26
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,27
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,28
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,29
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,30
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,31
"[-0.5760154276040972, 0.8111934304256997, -0.10085358494498119]",-0.23278030961461382,32
"[-0.5760154276040972, 0.8111934304256997, -0.10085358494498119]",-0.23278030961461382,33
"[-0.574098160515744, -0.8127202584523989, -0.09948408713711457]",-0.232790113757776,34
"[-0.574098160515744, -0.8127202584523989, -0.09948408713711457]",-0.232790113757776,35
"[-0.5742575433953692, -0.8127097821342241, -0.09864625627390948]",-0.2327929793177494,36
"[-0.5742575433953692, -0.8127097821342241, -0.09864625627390948]",-0.2327929793177494,37
"[-0.5742575433953692, -0.8127097821342241, -0.09864625627390948]",-0.2327929793177494,38
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,39
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,40
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,41
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,42
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,43
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,44
"[-0.5742835370667408, -0.8127064904552038, -0.09852197433110466]",-0.23279329804090027,45
"[-0.5744807507331673, -0.8126644995861207, -0.0977152912777548]",-0.23279469365205976,46
"[-0.5745043457493103, -0.8126563847511798, -0.09764403227181408]",-0.23279476062731633,47
"[-0.5745263158255498, -0.8126486016453347, -0.09757951971496147]",-0.23279481293045393,48
"[-0.5745263158255498, -0.8126486016453347, -0.09757951971496147]",-0.23279481293045393,49
"[-0.574545184917084, -0.8126413764550934, -0.097528579205097]",-0.23279484871546186,50
"[-0.5745581613793566, -0.8126367565921288, -0.09749062020419404]",-0.23279487195968404,51
"[-0.5745692989406967, -0.8126327113910522, -0.09745869428646667]",-0.23279488936579779,52
"[-0.5745784831473554, -0.8126292625326459, -0.09743330221095925]",-0.23279490181211193,53
"[-0.574586324278556, -0.8126263678788669, -0.09741120151224059]",-0.23279491161044977,54
"[-0.574593608951134, -0.8126237044104696, -0.0973904491350002]",-0.2327949199412596,55
"[-0.5745999528260346, -0.8126212395859901, -0.09737358566905001]",-0.23279492609962724,56
"[-0.5746048440798287, -0.8126194781193884, -0.09735942142889116]",-0.23279493083506891,57
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,58
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,59
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,60
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,61
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,62
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,63
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,64
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,65
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,66
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,67
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,68
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,69
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,70
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,71
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,72
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,73
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,74
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,75
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,76
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,77
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,78
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,79
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,80
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,81
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,82
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,83
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,84
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,85
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,86
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,87
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,88
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,89
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,90
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,91
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,92
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,93
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,94
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,95
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,96
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,97
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,98
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,99
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,100
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,101
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,102
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,103
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,104
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,105
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,106
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,107
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,108
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,109
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,110
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,111
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,112
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,113
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,114
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,115
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,116
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,117
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,118
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,119
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,120
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,121
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,122
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,123
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,124
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,125
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,126
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,127
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,128
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,129
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,130
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,131
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,132
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,133
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,134
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,135
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,136
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,137
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,138
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,139
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,140
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,141
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,142
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,143
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,144
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,145
"[-0.5746122868874668, -0.8126170984101471, -0.09733535395440225]",-0.23279493799612277,146
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,147
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,148
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,149
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,150
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,151
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,152
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,153
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,154
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,155
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,156
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,157
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,158
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,159
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,160
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,161
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,162
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,163
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,164
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,165
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,166
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,167
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,168
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,169
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,170
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,171
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,172
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,173
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,174
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,175
"[-0.5745894577676846, 0.8126354014611852, -0.09731731251044926]",-0.23279494227290853,176
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,177
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,178
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,179
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,180
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,181
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,182
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,183
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,184
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,185
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,186
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,187
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,188
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,189
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,190
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,191
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,192
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,193
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,194
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,195
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,196
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,197
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,198
"[-0.21501126879176707, 0.2918867768969797, 0.9319722440959533]",-0.35198302052716485,199
